Ulasan,Learnability,Efficiency,Errors,Satisfaction,
Ini masih down yah ? Udah hari kedua loh,0,0,1,0,
Saya sudah beberapa hari ini tidak bisa buka aplikasi sama sekali,0,0,1,0,
Sedang eror kah hari ini,0,0,1,0,
"Cuma sampai tampilan depan saja ,stack dilambang starbuks. Kenapa yaaaa?",0,0,1,0,
Starbucks reward tidak bisa dibuka,0,0,1,0,
Sdh punya akun tapi setelah dibuka tidak bisa ..,0,0,1,0,
"Aplikasi sudah error 3 hari, reward bakal hangus besok. Bagus pertahankan saja ya, nahan saldo customer.",0,0,1,1,
bug gabisa dibuka,0,0,1,0,
sudah dua hari aplikasi saya ngk bisa ke buka. Uda di uninstal berulang kali tapi tetap ngk bisaa kebuka. loadingnya lama banget. Jadi malass,0,1,1,0,
"Apk ga bisa jln, pas dibuka yg muncul hanya tampilan logo starbucks nya doang. Kirain jaringan saya yg ngelag, eh ditungguin 30 menit jg masih kaya gitu. Cuma logo doang yg muncul. Tolong dong apknya diperbaiki lge suka error jg soalnya.",0,1,1,0,
Gabisa login lama,0,1,1,0,
Waduh belum nyoba udah ngelag,0,0,1,0,
"ini masuk aplikasi kok stag di logo aja? udah ganti hp ttp aja sama,kira hp nya yg udh gx suport,ternyata aplikasinya memang gx bisa di buka,tolong perbaikanya,baru ak naikan bintang nya lg.",0,0,1,0,
aplikasi tidak bisa dibuka,0,0,1,0,
Lg maintenance ya aps ny udh 2hr ga bs k buka,0,0,1,0,
"Sudah pernah digunakan berkali-kali, semula baik baik saja. Tapi sekarang tiba-tiba ngga bisa dibuka. Sudah coba uninstal dan instal lagi, tetap tidak bisa.",0,0,1,0,
kdg ga bs di buka,0,0,1,0,
"Hari ini dri pagi smpe malam knp gak bisa buka aplikasinya, parah banget aplikasinya",0,0,1,0,
"Kenapa aplikasi nya tidak bisa di buka yaa?? Terakhir transaksi beli sih kemaren , tolong segera respon",0,0,1,0,
"Baru diinstall, aplikasinya error gk kebuka²...",0,0,1,0,
Aplikasi nya ga bisa dibuka,0,0,1,0,
Apa lagi gangguan? Apk dan via web tidak bisa terhubung,0,0,1,0,
Loading lama,0,1,1,0,
"Payah apkturbuk down knp.ya padahal kan aku pas ultahmau tdaktir temem,,, dan juga mana yg ultah di bulan nov birtday cake gk ada juga zzzzoooonk,,!!??????",0,0,1,1,
Suka nongki distarbuck,0,0,0,0,
"udh di instal di hpku tp kok gabisa ya? mksdnya kek mau login gt gk muncul, dan udh aku scroll ke bawah tetep gabisa. knp ya? apa gabisa ya dihpku, hpku jadul emng oppo f1s",0,0,1,0,
Aplikas ga guna buat apa di bikin. Login aja kaga bisa,0,0,1,0,
Aplikasi gabisa dibuka sama sekali. Gimana ini??????,0,0,1,0,
Lumayan dapet banyak reward tapi Tapi kenapa hari ini aplikasinya ga bisa di buka ya?,0,0,1,0,
Saya sudah deposit d aplikasi ini. Lalu error pula. Uang ku hilang deh,0,0,1,0,
"Bintang 1 dulu yaa. Pas mau login minta konfirmasi kode yg dikirimkan ke email, tapi kodenya gak masuk ke email. Jadinya gak bisa pakai aplikasinya.",0,0,1,0,
Loh kok gk bs sign up sih hahah ngakak,0,0,1,0,
min kok gabisa login sih pdhl uda daftar,0,0,1,0,
Ok,0,0,0,1,
"Saya coba join, dan saya sudah daftarin sesuai dengan data diri saya yg benar, pendaftarannya juga sudah berhasil. Namun ketika saya hendak login keterangannya password/email yg saya masukan salah. Padahal saya sudah memasukan email dan password yg benar. Akhirnya saya coba pilih menu lupa password, dan masuk donk ke mail saya utk ubah apsword, dan paswordpun berhasil saya ubah, namun saat hendak login tetap tidak bisa, keterangannya password/email salah. Kacau ini aplikasi, hilang mood eh...",0,0,1,1,
Yah harus top up.. Min 100 syg duitnya mending beli beras aja wkwkwkwkkw🤣,0,0,0,1,
Kota Bandung ga bisa order lewat mobile app ??,0,0,1,0,
"Tempat nyaman,suasana nyaman ,barista ok ..ok byk promo .",0,0,0,0,
Kenapa ketika ingin dikirim otp ada tulisan error' communication with server?,0,0,1,0,
Kenapa tidak ditemukan store terdekat di jogja kalau pakai apps ini?,0,0,1,0,
"Gbs login. Email g masuk"".",0,0,1,0,
"Mau sign up tapi referal kode wajib hahaha, a5u banget gue yg gaktau mau ngisi referal kodenya siapa tapi harus diwajibkan mengisi referal kode wkwkw, kan a5u habisin kuota",0,0,1,0,
"Gak guna bikin akun , gk bisa2 padahal udh di isi semua , ngeselin lu",0,0,1,1,
Hebat,0,0,0,1,
"Tadinya gak bisa akhirnya dicoba-coba terus bisa, dan bisa beli Starbucks dengan harga 10k dan pelayanan nya pun barista nya tetep baik gak jutek 😂",0,0,1,0,
Gk bisa membantu may dftr sja rumit sekali,1,1,0,0,
"how could this happen? mau isi ulang kartu gabisa terus. udah ganti dari data - WiFi, install - reinstall tetep gabisa 😭",0,0,1,0,
Bagus,0,0,0,1,
Theese goods,0,0,0,1,
Aplikasi payah,0,0,0,1,
Susah berapa kali login juga daftar tetep tidak bisa berhasil berapa hari capek gw males ...,0,0,1,0,
Good apk,0,0,0,1,
Good,0,0,0,1,
Mau login selalu tidak valid padahal data semua sudah benar tolong dong di perbaiki,0,0,1,0,
"Tampilannya kuno di 2022, dan agak bingung tampilan home nya banyak bgt tulisan yg gk impact ke saya",1,0,0,0,
"Isi saldo nominal kecil kaga ada,, payah banget ini harus yang besarr.. Mending bayar cash kalo ribet isi saldo kecil kaga bisa",0,0,1,0,
Mantap jiwa,0,0,0,1,
"Sign up nya susah blok, gk ngarep minuman juga sih bye",0,0,1,0,
"Kecewa sih lokasi saya di Surabaya mau order by apps nearby store nya di JKT, saya search manual storenya nggak muncul",0,0,1,0,
Mantap,0,0,0,1,
Rewards ga bs di klik knp y,0,0,1,0,
Mau daftar tp gabisa bisa pdahal data nya udah lengkap😣,0,0,1,0,
Udha download tapi nggk bisa dibuka,0,0,1,0,
Ud install daftar reward nya malah g bisa dia pake. Harganya harga normal🐒,0,0,1,0,
anda bikin pacar saya sedih,0,0,0,0,
Bagus,0,0,0,1,
sangat tidak berguna karena mau sign in aja susah padahal data sudah benar semua. disuruh kirim email pun malah tidak ada balasan,0,0,1,0,
Solusinya kalo salah masukin email gmn??masuk lagi pake no yg sama udh gal bisa??,0,0,1,0,
"Karyawan yg di daerah bintaro plaza judes2 bgt orng mau nukerin riwed ajh ga bisa , katanya lagi ga nerima riwed trs saya blng brti ga bisa ya, eh trs tmn yg satunya lagi blng es batunya abis jdi yg mna yg bnr aneh ,orng mau nukerin vocer ko bkn mau minta, glran yg di ceger strubcknya orng2nya pd ramah good job bgt beda sama yg di plaza",0,0,0,0,
"Lhaa malah salah password pas mau masuk,,pdhal kan sdh dftr tdi..begooo data guaa ktahuan daah",0,0,1,0,
Apa2an kata nya ada promo pake aplikasi giliran udah ke store nya karyawan nya jutek2 dan kata nya ga bisa pake reward mengecewakan Karyawan di bintaro plaza ga tau deh kalo di store lain seperti apa tolong donk pelayanan nya jangan seperti itu,0,0,0,0,
"sudah join, tapi pas login invalid user/pass, dan ketika mau join ulang nomer sudah terdaftar, payah nih keknya cuma mau ngambil data kita doang, dipake login kaga bisa",0,0,1,1,
"Gk bisa login gagal trs, nama gede hrga menunya mahal. Kok buat aplikasi kyk gini gk bisa apa IT nya disini sampah ya?",0,0,1,1,
Aku harap kalau daftarin temen pakai kode referal free 1 beverage or 1 food,0,0,0,0,
"Hi min, ku bingung gmn ya ini forgot password tapi ko gak masuk ya emailnya?",0,0,1,0,
Mantap 👍👍👍,0,0,0,1,
Baik,0,0,0,1,
Gak bisa login padahal udah daftar,0,0,1,0,
Jualan kopi aja gausah pake aplikasi gini. Ga jelas banget aplikasinya. Error ancur mulu,0,0,1,0,
Tidak bisa klik sign in. Padahal email dan password sudah benar.,0,0,1,0,
"Sudah top up tapi belum masuk saldonya dari tadi siang,statusnya pending terus...",0,0,1,0,
Top up BRI jdi g ada,0,0,1,0,
Lemot bangettt sumpah,0,1,1,0,
Baru kali ini nu aplikasi yang lelet banget.,0,1,1,0,
"Semua udah oke, tapi ketika mau sign up selalu gagal alasannya otp invalid.padahal otp sudah ceklis hijau,ini gimana yah minta bantuannya biar mudah signup",0,0,1,0,
Ngebug ya ? Mau login aja loading padahal mau bayar,0,1,1,0,
Semakin banyak lagi diskon,0,0,1,0,
Susah sekali msuk applikasix lm loadingx,1,1,0,0,
Log in kode otp bner tp invalid terusss sudah coba beberapa kali hampir 2 jam Okelah uninstal aja,0,0,1,0,
"KAK INI YG BNER AJA MAU DELIVERY WILAYAH BANDUNG MASA GA ADA OUTLET NYA , DI SEARCH JUGA GA MUNCUL",0,0,1,0,
Yang mau pake referal code nih. Biar dapet potongan harga. Lumayan kan. ZULFITRIF-EF8B5C,0,0,0,0,
Tidak bisa register,0,0,1,0,
Gbisa d instal.,0,0,1,0,
"MAP NYA NGEBUG , TOLONG DI BENERIN TOD",0,0,1,0,
ACl GameSopt,0,0,0,0,
"Haloo starbucks, kenapa ya kadang setelah topup, dana ga lgsg masuk kdang pending sampai 1 jam an",0,1,0,0,
Sign up aja harus pakai kode refferal. Jika tidak punya ga bsa dilanjutjan. Apa apaan aplikasi begini. Ga mutuu,0,0,1,1,
"Sya udh download apk starbucks, udh isi data, dibagian paling bawah diminta kode referral. Sya gak punya kode referral, jd gmn donk???? Huhuhuhu...",1,0,0,0,
Mau nanya kenapa sekarang gabisa top up di BRI ya?,0,0,1,0,
Daftar tapi ga bisa login. Lucu sekali. Dianggap id & password salah,0,0,1,0,
Baru Mau joint send OTP ke no HP kok gak adayang masuk? Sudah coba berapakali tetap gak masuk otp nya Setelah email ke CS langsung direspon dan sudah bisa,0,0,0,1,
Kenapa mau daftar aja selalu gagal ? Padahal semua udah lengkap di isi,0,0,1,0,
Kenapa ga bisa truss registrasinya ya???,0,0,1,0,
"The best👍 Dimanapun, kapanpun reward bisa dipakai. Outlet baru maupun lama tidak ada kendala sistem. Dan yg terpenting, sudah menjelajah di berbagai kota, tp jgn lupa performa barista tetap dijaga ya.",0,0,1,1,
Mau login ko susah amat ya,0,0,1,0,
Gagal otp terus menerus,0,0,1,0,
Payah nyoba sign up aja ga bsa bisa otp g kekirim .aplikasi payah ..hadeuh,0,0,1,0,
"Maps nearby error, saya di samarinda. Yg nearby malah jakarta semua",0,0,1,0,
"Heran, sekelas Starbucks tp aplikasinya bug. Otp verify ga masuk2. Ga bisa sign up.",0,0,1,0,
Haduh ini kok lemot banget mau top up aja yaa. Mohon diperbaiki yaaa. Masa iya customer mau bayar aja susah.,0,1,1,0,
kok gabisa login ya..muter² terus..pas coba hapus data login lagi malah g bisa..padahal email sm pass ny uda bener...ini gmn coba,0,0,1,0,
It's great app,0,0,0,1,
"Nice, moga berkembang trs. 👍👍👍",0,0,0,1,
Mau registrasi dan sign up ga bisa2 kenapa ya? Udah masukin kode otp berkali2 tapi invalid terus!? Belum siap app nya ya? Harus nya mudah klo ga bisa registrasi gimana min? Kartinya tetep bisa dipakai ga nih ada saldonya soalnya nih min??!!,0,0,1,0,
Mantap,0,0,0,1,
OK,0,0,0,1,
"Min cara belanja nya gimana ,saya di kalsel min",1,0,0,0,
Sign up gabisa bisa,0,0,1,0,
"Apk ga jelas, kode otp udah bener di kata salah, di ulang lagi nomor telar terdaftar. Ketika mau login. Malah tidak terdaftar",0,0,1,0,
kenapa aplikasi sering berhenti sendiri tolong cepat perbaiki agar saya bisa tambah bintang nya⭐⭐⭐⭐⭐,0,0,1,0,
"Login susah amat. Pas udah berhasil, tiap mau order lokasinya di Jakarta terus, Searching lokasi Surabaya ga ada, hadeeh mana masih ada saldonya. Mau dipake aplikasinya gajelas. Kalau belum siap, mending gausah aplikasi aplikasinya, nama udah gede harga mahal kok kayak gini.",0,0,1,0,
Untuk dapetin code refferal nya gimana ya ? Susah banget mau join,1,0,0,0,
Kenapa setiap mau sign in sudah request code lewat email tapi belum masuk juga emailnya. Sudah cob sampek 5x tetep gak ada email masuk.,0,0,1,0,
"Saya Gak bisa sign up , sms otpnya selalu berhasil masuk pas masuk sign up gak berhasil .",0,0,1,0,
Nice service n ramah,0,0,0,0,
Kereenn tingkatkan promo nya,0,0,1,1,
"Udah nyoba login berkali2 gabisa malah ke blokir pdhl email dan pass nya bener tpi selalu bilang pw/email salah, chat ke ig sbux ga di respond. Tolong dong tingkatin lagi performa apk nya",0,0,1,0,
"Bagus, top up nya juga mudah 👍",1,0,0,1,
Transaksi lancar n ga ada kendala. Thanks starbucks. 👍🏻,1,0,0,1,
"Ga bisa sign up, padahal otp bener. Hmmmz..",0,0,1,0,
"Ini saya tidak bisa masuk ke app starbucks, mau claim vocher!!!! Tolong di perbaiki dong",0,0,1,0,
"Ini aplikasi aneh,sy mau join gak bisa,sdh 10x dicoba tp tetap gak bisa.Mungkin Starbuck ini tdk butuh costumer ya.Kalo say sih gak mslh gak punya akun starbuck,sekedar ingin tau saja sih.Sy punya aplikasi kopi kekinian yg lagi naik daun.",0,0,1,0,
Good applikasi,0,0,0,1,
G bisa daftar udah coba berkali kali,0,0,1,0,
"Pengen regis gk bs min,gimana dong",0,0,1,0,
"Aplikasi starbucks saya kenapa gak bisa di buka ya? Udah log in bbrp kali, tapi selalu gak bisa. Pdhl udah masukin email n Password yg bener. Kalo mau buka aplikasi nya loading lama banget. Pdhl udh pake wifi dan data seluler. Tolong ini gimana ya kebijakannya? Saya termasuk seneng belanja di starbucks, cuma karna aplikasi nya ini susah di buka, jd saya agak sebel. Tolong perbaikan atau saran nya.",1,1,1,1,
Kok mau sign up mau masukin alamat email g BS y,0,0,1,0,
Kenapa engga engga bisa login kak..tolong dong,0,0,1,0,
"Referrar code, ini code dari mana? Tanya ke pihak karyawan starbuck juga gak tau!",1,0,0,0,
Kecewa banget udah ngundang temen pake referal saya tp sampai skrg ga masuk2 reward 50% nya. Dan saya jg hari ini sudah top up yg 300rb di starbucks store benhil tp 30 Star nya ga muncul2,0,0,1,1,
"Pertahankan peformanya, login dh mulai bener",0,0,1,1,
great apps!,0,0,0,1,
Belum coba pesan wk,0,0,0,0,
Deposit tidak bisa di belanjakan di luar Starbucks,0,0,1,0,
"Aplikasinya membantu bangettt, tapi semenjak Update kok jadi agak lemot ya?",0,1,1,1,
Aplikasi apaan sih...aku udh bolak balik ngirim kode verikasi email knapa gk bisa gituu lhoo..,0,0,1,0,
Gak bisa login,0,0,1,0,
"Gagal Login padahal udah bener email & password login nya, aplikasi ccd!!!",0,0,1,0,
Sy dah ubah password dan update. Smp skrg ga bs masuk2 alasannya salah password. Sy minta untuk reset pass word malah ga ada notif. Bagaimana ini?,0,0,1,0,
"Pertama nya iya ngebug, ada masalah saat login, loading terus. Tapi karena respon nya cepat & segera diperbaiki bug nya beberapa saat kemudian, ya salut lah, bertanggung jawab dan nggak lari dari masalah, ada tanggapan. Semoga semakin baik lagi untuk aplikasinya. Pekerjanya beneran kerja sih bagus",0,0,1,0,
"Mau login gak bisa padahal username dan password sudah benar, malahan akun saya diblokir. Sudah komplain ke customer service nya tapi pelayanan nya lambat sekali sampai sekarang belum ada solusi. Kecewa aja sih brand sekelas Starbucks aplikasi nya bobrok seperti ini",0,0,1,1,
Mantap,0,0,0,1,
Hargabya dong pake harga mahasiswa,0,0,0,0,
Percuma buat app. Tdk bs join. Ngak jelas,0,0,1,0,
App agak lama kerjanya ga bisa sat set :(,0,1,0,0,
Mantepss thanks,0,0,0,1,
Keren.,0,0,0,1,
Good,0,0,0,1,
Good,0,0,0,1,
"Aplikasinya benar² nggak jelas, saya sudah masukkan password email saya tapi, nggak bisa. Ini disuruh buat password nggak sih atau pakai password yang asli gitu. Tolong anda jelaskan.",0,0,1,0,
Aplikasi kaga ada jelas2 nya.....log in sampe diulang kaga pernah bisa sign up.....gw nya yg ga bisa apa aplikasi nya emang kaga jelas......,0,0,1,0,
top,0,0,0,1,
So far so good,0,0,0,1,
"Kopi terbaik, barista terbaik, staff terbaik 👍🏻",0,0,0,0,
ok,0,0,0,0,
"Sejak update aplikasi nya, buat buka aja lemot nya ajubilah, sampe nenek-nenek jadi muda lagi baru bisa kebuka. Aplikasi dibuat biar mempermudah, bukan bikin orang jadi emosi gara-gara lelet banget 👎👎👎👎",0,1,1,0,
Nice,0,0,0,1,
"Nggak bisa sign in sama sekali. Padahal pas join in udah beres, tinggal sign in aja. Tapi cuman stuck disitu ga bisa masuk",0,0,1,0,
Memuaskan,0,0,0,1,
Good,0,0,0,1,
KereN,0,0,0,1,
Good notion,0,0,0,1,
Nice app,0,0,0,1,
Tks Sturback untuk aplikasi nya,0,0,0,1,
Varian seperti frape java chip sm vanilla jika ada yg hangat lebih baik,0,0,0,0,
Love it,0,0,0,1,
Favorit🥰,0,0,0,0,
"Klian yg gada masalah jan lupa kasih bintang 5 okeii. Kesian jg bnyk bgt yg bintang 1 pdhl pasti banyak yg lancar2 aja tp ga ngasih bintang. Appnya bagus kok, aku dpt bnyk bgt voucher jd bisa sering2 beli deh wkwk. Tingkatkan trs ya starbucks!!!",0,0,1,0,
Ok,0,0,0,1,
Puas banget,0,0,0,1,
Mantap...banyak promo nya 👍👍,0,0,0,1,
😁,0,0,0,1,
Banyak promo......🤣👍,0,0,0,1,
Lumayan lah,0,0,0,1,
Good. Sometime takes time to open the aplication.,0,1,0,1,
Sangat baik,0,0,0,1,
👍👍👍,0,0,0,1,
The best coffee and coffee shop in the world,0,0,0,0,
"suka loading kalo pas susah signal aja macam di rest area, bandara gitu².. sejauh pakai app ini gampang sih buat transaksi di kasir",1,0,0,0,
Good aplication,0,0,0,1,
Gas,0,0,0,0,
Userfriendly,1,0,0,1,
"Minuman2 nya enak pake banget, favorit caramel machiato 🥰👍 , Tumbler nya lucu2 bgt 😍",0,0,0,0,
"⭐️5 lah pokok nya, starbucks always in heart",0,0,0,1,
Sangat nyaman n cepat... pokoknya sukses deh buat starbucks indonesia.... yang selalu memanjakan customer dgn beragam promo... 🙏🙏🙏,1,1,1,0,
Suka cuman sayang menunya gak bisa dilihat diaplikasi lagi,0,0,1,1,
ENAKKK BETUL MINUMAN NYA🤗🤗🤗🤗,0,0,0,0,
"Sekarang loginnya susah, setelah password loading terus lama. Tolong dibenerin, terima kasih",0,0,1,0,
"Gajelas banget, mau sign up aja lamanya sampe sejam sendiri, dibilang OTP code salah, padahal saat masukin OTP udh di confirm bener. Giliran udh bisa, mau sign in aja lama bgttttt, cape duluan",0,0,1,0,
The Best,0,0,0,1,
aplikasi aneh tinggal di surabaya ditunjukin di jakarta mulu. kalo emang mobile ordernya khusus jakarta trus napa ngasih kupon diskon2 di seluruh outlet,0,0,1,0,
Aplikasi bagus dan gampang digunakan.,1,0,0,0,
Cuma bisa mesen d area jakarta aja ya?????? Trus ngapaen store luar jakarta buat donlot???????????????,0,0,1,0,
"Awal punya member card gak perlu download aplikasi ini, kenapa pas mau beli gunain member card download aplikasi ini dan sama sekali gak bisa login. Di email slow respon 🥺. Bye lah gak usah pakai member card. Bad banget ini aplikasi",0,0,1,0,
G bisa login,0,0,1,0,
Sign tidak bisa Tidak ada email masuk,0,0,1,0,
"SEPERTI REVIEWER SEBELUMNYA, APLIKASI GBLK. Tinggal di Palembang tapi nunjukkin Jakarta, mau order tapi place tetep di Jakarta, GPS aktif, izin Location juga udah on, tetep aja di Jakarta. Gimana mau order, developer gak niat",0,0,1,0,
Aplikasi sering hang sekarang. Karyawan di grand indo kaku sekali...padahal lagi tum ler day. You suckssss Yach tetap saja saya bayar normal jadinya...promo nya kan jadi bohong namanya begitu bro...u sucks,0,0,1,0,
"Makasih, sudah bisa digunakan kembali",0,0,1,0,
"belum stabil aplikasi nya, Gagal login mulu (dengan keterangan Internal Server Error)",0,0,1,0,
Gak bisa di download aplikasi nya,0,0,1,0,
Tidak bisa di buka hari ini,0,0,1,0,
Sering ngecrash tapi kalau untuk pembayaran mudah,1,0,1,0,
Mau sign mau join susah semua padahal email sama kata sandi bener Ampe bikin email baru tetep salah juga aplikasi jelek,1,0,1,0,
Susah banget buat masuk Udah ga punya kode ko malah ga bisa,0,0,1,0,
Mantap,0,0,0,1,
Parah bgt mau sign in masukan email salah mulu padahal gw BNR dah masukan email & password pasti tulisan nya error' suruh masukan email yg benar .plz deh.gak bs login PK no hp ja gt??mana ada saldonya lagi di app SBUCK NYA😭😭😭😭😭😭,0,0,1,0,
Starbucks is the best,0,0,0,0,
Erorr.,0,0,1,0,
di update terbaru g bisa masuk katanya ponsel ter root padahal kondisinya lagi unroot..,0,0,1,0,
andi,0,0,0,0,
gabisa pencet tombol sign in error di sistem nya,0,0,1,0,
Good,0,0,0,1,
Gooood,0,0,0,1,
tidak bisa login,0,0,1,0,
Starbucks emang paling debes,0,0,0,0,
super app. thanks.,0,0,0,1,
"Parah, mau order di surabaya malah yang tersedia di jakarta ajaa.. segera di perbaiki",0,0,1,0,
Mantaap,0,0,0,1,
"selalu error gaada internet waktu mau login dan buat passcode pdhal internetny kenceng, tolong diperbaiki..",0,0,1,0,
Gk bs daftar knp ya gk mau msk terus,0,0,1,0,
"Mau order buat lokasi terdekat malah gabisa. Asik di jkt mulu, kan gue tinggal di medan. Dah di search dan on location. Mengheran",0,0,1,0,
Sangat bagus,0,0,0,1,
Excellent,0,0,0,1,
Paraaaaaah banget gabsa sign in sama sekali sampai cape bgt sumpah,0,0,1,0,
Aplikasi ga guna,0,1,0,1,
Starbuck mantap banyak bonus,0,0,1,0,
Terbaik,0,0,0,1,
Aplikasi tidak dapat dibuka.,0,0,1,0,
Gak asik,0,0,0,1,
"Mbak-mbak baristanya suka menjebak pembeli. Di daftar harga tertera 32rb, tapi mbak-mbak baristanya bilang ini itu ini itu, kami sebagai pembeli mengira itu free karena mbak-mbak baristanya gak bilang kalau tambah ini bayar sekian. Kopi yang tertera didaftar menu seharga 32rb, tapi waktu bayar 70rb.",0,0,0,0,
Top,0,0,0,1,
"Cek store terdekat aja ga bisa, gimana mau beli lewat aplikasi coba",0,0,1,0,
"Yang gabisa nemu OTP, kalian bisa cari di Bagian Promo di email disitu tertera Kode OTP nya",0,0,1,0,
Mohon dibantu starbuck saya udah join now saat saya mau sign in kok susah padahal saya udah punya kartu starbuck,0,0,1,0,
Kontholl mau masuk ribet banget sekeren apa si aplikasi lo dasar,1,1,0,0,
Yg bilang login masukin code perasaan saya gampang² aja gada kesulitan. Kesulitan nya cuma 1 mau milih tapi kantong menipis:((( muehehe:v,1,0,0,0,
Mantap,0,0,0,1,
Starbucks lu lagi kenapa sii sekelas lu kenapa ribet amatt gini,1,1,0,0,
"Rabu 17 November 21 jam 1353 dapat order dari customer sebesar rp.1juta lebih, sudah dikasih nota ,saya foto,saya tunggu diluar[karena nungguin didalam tidak boleh]sangat tidak menghargai ojol,saya tunggu 30menit lebih,pelayan cowok tinggi kurus keluar bilang mau dicancel, karena stok habis, njancuk koe mas, kerja nggak profesional, sekelas Starbucks dari Amerika tidak bisa menghargai waktu,waktu adalah uang,uang orderan saya hilang,tips customer juga hilang,staff Starbucks setahu saya min D3 ta",0,0,0,0,
Koq ga bs sign in yah???,0,0,1,0,
mau login tp d suruh update. Giliran mau update malah ga bisa2,0,0,1,0,
"jarang saya temui bintang 5, biar jd perwakilan, Jos sering ada Reward.",0,0,1,0,
Tidak bisa login ketika memasukan OTP gagal terus sudah 20kali. Tolong perbaiki lagi aplikasinya. Terimakasih,0,0,1,0,
"Sulit sekali untuk bisa log in, sudah berhasil join now tapi tidak bisa log in. Saya sampai coba forget password tapi tetap tidak berhasil.",0,0,1,0,
Mak nyusssss,0,0,0,0,
Nice service,0,0,0,0,
"Mantap ini ke3x dihapus, apps nya gk ngasih extra bintang pas top up, tulis email gk direspon, tlp customer care sibuk, ancuurrr, nipuuuuuu",0,0,1,0,
"gak bisa daftar katanya emailnya gak valid , pdhl email yang saya masukkan itu dipake setiap hari . Gimna sih ?",0,0,1,0,
"Ini kopi kalau tidak niat dengan adanya aplikasi mending tidak usah pakai aplikasi deh.. ribet banget 🤦🤦 ya ampun.. kalau untuk perbandingan aplikasi antara kopi kenangan lebih mudah,, mulai daftar, pesen,, pembayaran dll🤦 padahal sekelas Starbucks mewah kenapa lemah di aplikasi, sebagai pecinta Starbucks kecewa sih🤦🤦",1,1,0,1,
"Saran: minuman Internasional pelayanan kurang begitu baik,member sy sudah Gold sekarang menjadi Green Level mengapa❓❓❓ hitungan sy top up selama sebulan bisa mencapai 1.5juta..itupun sebagai pelanggan yg penikmat kopi tidak dirangsang dgn hadiah - hadiah ( karena jaman omincron )mohon utk kelanjutan dalam berbisnis..cari karyawan yg mengerti akan setiap pelanggan jangan bekerja dgn muka dilipat menjadi 6...",0,0,1,0,
Belom bisa order di bandung. Nanti klo ud bisa order ganti bintang 5,0,0,1,0,
E-CODE NYA ERROR MULU KALO NGASIH OTP YANG BENER BIKIN INVALID MULU SANDI BENER EMAIL BENER Kalo ga niat ngasih KODE ke pembeli gaush bikin apk nya.,0,0,1,0,
Ga jelas ga bisa masuk no otp tidak valid ga jelas,0,0,1,0,
Very good,0,0,0,1,
Baik,0,0,0,1,
Good coffee quality,0,0,0,0,
"Aplikasi rusak, ga bisa login _- internet tidak ada akses padahal sinyal kenceng _-",0,0,1,0,
"Aplikasi gak bisa dibuka sama sekali, markom nul markom nul doang, balanceku masih ada. Kesal",0,0,1,1,
Bagus.,0,0,0,1,
Banyak promo,0,0,1,0,
"saya bantu ngasi bintang 5, kasian adminnya salah mulu ;)",0,0,0,0,
"ga bisa sign in, padahal emailnya bener, passwordnya juga bener",0,0,1,0,
Sangat puas minum starbucks,0,0,0,0,
Aplikasi ini sangat berguna kasih bintang 5 jika bisa pembayaran via gopay,0,1,0,1,
"Ga bisa registrasi, salah mulu ky cewek",0,0,1,0,
"Gabisa login terusss dah hampir sebulan nyoba login belum bisa2 sampe sekarang:""",0,0,1,0,
"Aplikasinya sakit, mending starling ga ribet :)",0,0,0,1,
"Tidak bisa daftar, selain kendala kode OTP, banyak juga kenda lainnya saat mendaftar, seperti server error dan nomor atau email katanya sudah terdaftar padahal belum pernah download dan daftar sebelumnya. Sudah banyak komplain mengenai hal ini tapi pihak yang bersangkutan juga belum mengatasi sampai sekarang.",0,0,1,0,
"""INTERNAL SERVER ERROR"" PLEASE FIX IT.",0,0,1,0,
Feel at home❤😍👍🙏,0,0,0,0,
Good taste,0,0,0,0,
Ok,0,0,0,1,
"aplikasinya parah cacadnya ..lemot, lama, buat id aja prosesnya lama...masak starbuck buat aplikasi yg mufah simple aja g bisa g kayak branf kopi lain yg mudah simple cara daftar dan buat id nya...cacad parah sihh....dah banyak yg ngasih review jelek g malah diperbaiki aplikasi ..dasar hadehhh....",1,1,1,1,
Jangan percaya voucher 10k,0,0,1,0,
"Banyak penawaran asal diberikan ke konsumen, tanpa melihat kondisi dilapangan. Hapus aja aplikasi ini kalau tidak bermanfaat.",0,0,1,0,
Susah banget joinnya,0,0,1,0,
"Tidak bisa login, daftar pakai no lain juga tidak bisa",0,0,1,0,
Coffe nya the best,0,0,0,0,
Udah input verifikasi code yg dikirim ke email ttp gak ba masuk udah berapa kali dicoba ttp gak bisa,0,0,1,0,
Semakin di maksimalkan ya seluruh fitur nya,0,0,1,0,
Jos mantul,0,0,0,1,
Sangat membantu,0,1,0,1,
Oke dan cepat,0,1,0,1,
Harus lbh dipermudah lagi yaa aplikasinya Starbucks,1,0,0,0,
Susah masuk nya,0,0,1,0,
Log in nya kaga mulu dah,0,0,1,0,
Good apps,0,0,0,1,
👍🏻👍🏻👍🏻,0,0,0,1,
Ok,0,0,0,1,
Mau ganti password gabisa login terus. Padahal sudah perbarui password,0,0,0,1,
"Percuma download, ribet, gak bs ter-registrasi...",0,0,1,0,
Menarik,0,0,0,1,
